n_jobs	process	thread
1	1.4287998569998308	0.5553036460005387
2	2.1224030640005367	1.3083037790001981
3	1.8227256499994837	1.6174494389997562
4	1.7898984540006495	1.6286156060014036
5	1.8092479970000568	1.873390656999618
6	1.7960329600009572	1.7926446549990942
7	1.787445043999469	1.842131718998644
8	1.9425452850009606	1.8391334520001692
9	1.8145946860004187	1.928508076000071
10	2.042935483999827	2.1274266820000776
11	2.0678510399993684	1.9890107690007426
12	2.1876998619991355	1.957231539001441
13	2.2962160980005137	2.0605828749994544
14	2.284869029001129	1.9392747089987097
15	2.248879044000205	2.000982780000413
16	2.3530620519995864	2.049221581999518
17	2.4199136620009085	2.0701862480000273
18	2.350047247000475	2.322570156000438
19	2.4732083409999177	2.256805926999732
20	2.4916115989999525	2.0370484570012195
21	2.5490504629997304	2.2579094840002654
22	2.503598776000217	2.256780550000258
23	2.5638933109985373	2.0593447840001318
24	2.6279450000001816	2.0768241380010295
